COD_ACTIVIDAD_F883;DESC_ACTIVIDAD_F883;DESCL_ACTIVIDA_F883;
011111;Cultivo de arroz;Cultivo de arroz;
011112;Cultivo de trigo;Cultivo de trigo;
011119;Cultivo de cereales n.c.p., excepto los de uso forrajero;Cultivo de cereales n.c.p., excepto los de uso forrajero (Incluye alforfón, cebada cervecera, etc.);
011121;Cultivo de maíz;Cultivo de maíz;
011129;Cultivo de cereales de uso forrajero n.c.p.;Cultivo de cereales de uso forrajero n.c.p.;
011130;Cultivo de pastos de uso forrajero;Cultivo de pastos de uso forrajero ;
011211;Cultivo de soja;Cultivo de soja;
011291;Cultivo de girasol;Cultivo de girasol;
011299;Cultivo de oleaginosas n.c.p. excepto soja y girasol;Cultivo de oleaginosas n.c.p. excepto soja y girasol (Incluye los cultivos de oleaginosas para aceites comestibles y/o uso industrial: cártamo, colza, jojoba, lino oleaginoso, maní, ricino, sésamo, tung, etc.);
011310;Cultivo de papa, batata y mandioca;Cultivo de papa, batata y mandioca;
011321;Cultivo de tomate;Cultivo de tomate;
011329;Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p.;Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p. (Incluye ají, ajo, alcaparra, berenjena, cebolla, calabaza, espárrago, frutilla, melón, pepino, pimiento, sandía, zanahoria, zapallo, zapallito, etc.);
011331;Cultivo de hortalizas de hoja y de otras hortalizas frescas;Cultivo de hortalizas de hoja y de otras hortalizas frescas (Incluye acelga, apio, coles, espinaca, lechuga, perejil, radicheta, repollo, etc.);
011341;Cultivo de legumbres frescas;Cultivo de legumbres frescas (Incluye arveja, chaucha, haba, lupino, etc.);
011342;Cultivo de legumbres secas;Cultivo de legumbres secas (Incluye garbanzo, lenteja, poroto, etc.);
011400;Cultivo de tabaco;Cultivo de tabaco;
011501;Cultivo de algodón;Cultivo de algodón;
011509;Cultivo de plantas para la obtención de fibras n.c.p.;Cultivo de plantas para la obtención de fibras n.c.p. (Incluye abacá, cáñamo, formio, lino textil, maíz de Guinea, ramio, yute, etc.);
011911;Cultivo de flores;Cultivo de flores;
011912;Cultivo de plantas ornamentales;Cultivo de plantas ornamentales;
011990;Cultivos temporales n.c.p.;Cultivos temporales n.c.p.;
012110;Cultivo de vid para vinificar;Cultivo de vid para vinificar ;
012121;Cultivo de uva de mesa;Cultivo de uva de mesa;
012200;Cultivo de frutas cítricas;Cultivo de frutas cítricas (Incluye bergamota, lima, limón, mandarina, naranja, pomelo, kinoto, etc.);
012311;Cultivo de manzana y pera;Cultivo de manzana y pera;
012319;Cultivo de frutas de pepita n.c.p.;Cultivo de frutas de pepita n.c.p. (Incluye membrillo, níspero, etc.);
012320;Cultivo de frutas de carozo;Cultivo de frutas de carozo (Incluye cereza, ciruela, damasco, durazno, pelón, etc.);
012410;Cultivo de frutas tropicales y subtropicales;Cultivo de frutas tropicales y subtropicales (Incluye banana, ananá, mamón, palta, etc.);
012420;Cultivo de frutas secas;Cultivo de frutas secas (Incluye almendra, avellana, castaña, nuez, pistacho, etc.);
